Error,GT,Prediction
3.680488586425785,22.000000000000004,18.319511
1.0041351318359375,20.0,18.995865
5.571506500244141,24.0,18.428493
2.161895751953125,21.0,18.838104
2.3651695251464844,21.0,18.63483
5.319881439208984,23.0,17.680119
3.8766403198242188,22.0,18.12336
2.214214324951172,21.0,18.785786
4.817974090576172,23.0,18.182026
3.699007034301758,23.0,19.300993
3.725704193115238,23.000000000000004,19.274296
2.786672592163086,22.0,19.213327
4.806631088256832,22.999999999999996,18.193369
2.6077957153320384,22.000000000000007,19.392204
4.196033477783203,22.0,17.803967
3.0757369995117188,22.0,18.924263
2.506631851196289,21.0,18.493368
4.837764739990234,23.0,18.162235
1.8461112976074219,21.0,19.153889
5.084300994873047,23.0,17.915699
3.395988464355465,21.999999999999996,18.604012
2.80224609375,22.0,19.197754
5.03347206115723,24.000000000000004,18.966528
5.231922149658203,23.0,17.768078
5.259405136108395,23.999999999999996,18.740595
2.9799537658691406,22.0,19.020046
2.8094730377197266,22.0,19.190527
2.724916458129883,22.0,19.275084
3.622066497802738,23.000000000000004,19.377934
1.6872005462646484,21.0,19.3128
6.638236999511719,25.0,18.361763
1.139856338500973,19.999999999999996,18.860144
3.8599166870117223,23.000000000000004,19.140083
2.890567779541019,21.000000000000004,18.109432
2.5304069519042933,21.999999999999996,19.469593
4.609561920166016,23.0,18.390438
2.7912292480468786,21.000000000000004,18.20877
5.106393814086914,23.0,17.893606
4.52623176574707,24.0,19.473768
2.6265640258789062,21.0,18.373436
5.377719879150391,24.0,18.62228
5.275259017944336,24.0,18.724741
2.36360931396484,20.999999999999996,18.63639
2.7847900390625,21.0,18.21521
0.737762451171875,20.0,19.262238
3.1279830932617188,23.0,19.872017
3.706329345703125,22.0,18.29367
4.233646392822266,22.0,17.766354
1.7697315216064453,21.0,19.230268
4.0294647216796875,23.0,18.970535
2.846088409423828,22.0,19.153912
3.2573013305664062,22.0,18.742699
3.0639190673828125,22.0,18.93608
3.258243560791019,22.000000000000004,18.741756
